sim_t,sim_states,sip,dip,sport,dport,seq,ack,window,transId,protoId,len,unitId,funcCode,modbus,delta_t,pac_arr,labels
1,NORMAL,192.168.1.3,192.168.1.5,5021,15021,2132854575,1062425665,10232,18,0,15,1,3,"[12, [17269, 58717, 17412, 46344, 17469, 655]]",2.0690231323242188,1,0
1,NORMAL,192.168.1.3,192.168.1.2,5021,14900,3595127154,446804816,10232,19,0,19,3,3,"[16, [17037, 23207, 17269, 58717, 17412, 46344, 17469, 655]]",2.1144793033599854,1,0
1,NORMAL,192.168.1.2,192.168.1.3,5020,15000,3011948777,4213913167,10232,19,0,75,3,3,"[72, [16968, 53325, 16963, 57386, 16943, 38264, 17348, 8294, 17417, 38817, 17449, 44509, 17447, 64116, 17456, 55931, 17606, 48539, 17940, 57127, 17161, 9014, 16839, 19337, 16853, 45552, 15961, 38385, 16937, 55160, 17731, 45089, 17034, 36519, 17787, 15234]]",2.147379159927368,1,0
1,NORMAL,192.168.1.6,192.168.1.2,15030,5020,1874347583,1863154026,10232,19,0,27,2,16,"[0, 10, 20, [16935, 29304, 17725, 47756, 17034, 27096, 17767, 2699, 17348, 9547]]",2.1485657691955566,1,0
1,NORMAL,192.168.1.2,192.168.1.4,5020,15010,1100492607,1343660164,10232,20,0,75,4,3,"[72, [16968, 53325, 16963, 57386, 16943, 38264, 17348, 8294, 17417, 38817, 17449, 44509, 17447, 64116, 17456, 55931, 17606, 48539, 17940, 57127, 17161, 9014, 16839, 19337, 16853, 45552, 15961, 38385, 16937, 55160, 17731, 45089, 17034, 36519, 17787, 15234]]",2.116961717605591,1,0
1,NORMAL,192.168.1.5,192.168.1.2,15020,5020,954477542,1334829010,10232,19,0,63,1,16,"[0, 28, 56, [16969, 29633, 16962, 997, 16942, 52858, 17348, 9547, 17417, 41855, 17449, 47390, 17448, 304, 17456, 9991, 17606, 6572, 17940, 56645, 17153, 27826, 16839, 19762, 16853, 45977, 15949, 20339]]",2.1111702919006348,1,0
1,NORMAL,192.168.1.3,192.168.1.6,5021,15031,2875671116,3459332598,10232,19,0,7,2,3,"[4, [17037, 24799]]",2.065584659576416,1,0
1,NORMAL,192.168.1.4,192.168.1.3,15011,5021,3023066216,2585700387,10232,20,0,23,4,16,"[0, 8, 16, [17037, 27553, 17269, 57183, 17412, 45878, 17469, 823]]",2.065081834793091,1,0
2,NORMAL,192.168.1.3,192.168.1.2,5021,14900,3595127179,446804828,10232,20,0,19,3,3,"[16, [17037, 24799, 17269, 58178, 17412, 46200, 17469, 698]]",2.0738227367401123,1,0
2,NORMAL,192.168.1.3,192.168.1.5,5021,15021,2132854596,1062425677,10232,19,0,15,1,3,"[12, [17269, 57666, 17412, 46044, 17469, 754]]",2.511405229568481,1,0
