sim_t,sim_states,FV1,FV2,FV3,FV4,FI1,LI1,FI2,TI1,TI2,TI3,TI4,FI3,FI4,FI5,FI6,PI1,PI2,LI2,labels
1,NORMAL,50.056278228759766,49.41658020019531,44.69697952270508,42.72240829467773,3028.063232421875,69.30267333984375,3723.698974609375,392.2182312011719,550.1896362304688,677.93896484375,671.7826538085938,710.274169921875,1609.4666748046875,9528.6279296875,150.8494110107422,24.9104061126709,26.71040725708008,0.2337806820869445,0
2,NORMAL,50.06190872192383,49.31047439575195,44.39775848388672,42.80628967285156,3127.712158203125,69.31602478027344,4010.7158203125,392.2190246582031,550.2323608398438,678.231201171875,671.8045043945312,709.4039306640625,1600.4254150390625,9528.330078125,145.98062133789062,24.910932540893555,26.71093368530273,0.2262288630008697,0
3,NORMAL,50.13420867919922,49.12166595458984,44.09769058227539,42.27770614624024,3031.941162109375,69.25277709960938,3708.741943359375,392.2364807128906,550.30810546875,678.5234985351562,671.8941650390625,708.6825561523438,1595.1458740234375,9528.05078125,141.443603515625,24.91142463684082,26.71142578125,0.2191636264324188,0
4,NORMAL,50.20341873168945,48.96891021728516,43.89596557617188,42.46041870117188,3131.008056640625,69.27861785888672,4019.71923828125,392.2531127929688,550.3692016601562,678.7166137695312,671.913330078125,707.4137573242188,1589.9251708984375,9527.7880859375,137.13754272460938,24.91188240051269,26.711883544921875,0.2124860435724258,0
5,NORMAL,50.31978225708008,48.71162796020508,43.80152130126953,41.86178588867188,3035.6591796875,69.20672607421875,3696.658935546875,392.2814331054688,550.471923828125,678.8019409179688,672.0020751953125,706.3641967773438,1586.3577880859375,9527.5439453125,133.1717529296875,24.91230583190918,26.71230697631836,0.2063080817461013,0
6,NORMAL,50.363040924072266,48.50380325317383,43.701637268066406,42.085693359375,3134.454833984375,69.23783874511719,4029.15283203125,392.2913513183594,550.5546264648438,678.8924560546875,672.0185546875,704.6098022460938,1584.80224609375,9527.3173828125,129.42459106445312,24.91269302368164,26.71269416809082,0.2004983872175216,0
7,NORMAL,50.483795166015625,48.170372009277344,43.773536682128906,42.085693359375,3134.454833984375,69.23783874511719,4029.15283203125,392.3205871582031,550.6873168945312,678.8109741210938,672.1057739257812,703.1647338867188,1583.0550537109375,9527.1083984375,126.0216827392578,24.91304588317871,26.713045120239254,0.1951945275068283,0
8,NORMAL,50.5152473449707,47.90176010131836,43.76432418823242,41.40689468383789,3039.509033203125,69.15603637695312,3682.982666015625,392.3273620605469,550.793701171875,678.810791015625,672.1195678710938,700.8565063476562,1584.4874267578125,9526.9169921875,122.8258056640625,24.91336250305176,26.713363647460938,0.1902405768632888,0
9,NORMAL,50.64133834838867,47.48796081542969,43.95011520385742,41.40689468383789,3039.509033203125,69.15603637695312,3682.982666015625,392.3577880859375,550.9578247070312,678.6156005859375,672.20458984375,698.9649658203125,1584.3709716796875,9526.7431640625,119.9752960205078,24.91364479064941,26.713645935058597,0.185794323682785,0
10,NORMAL,50.67406463623047,47.1556510925293,44.01018905639648,41.687747955322266,3138.119873046875,69.19441223144531,4038.046142578125,392.3647155761719,551.0889282226562,678.5466918945312,672.2156982421875,696.0567016601562,1587.8463134765625,9526.587890625,117.32131958007812,24.91389274597168,26.713891983032227,0.1816811561584472,0
11,NORMAL,50.67406463623047,47.1556510925293,44.01018905639648,40.934024810791016,3043.53759765625,69.10336303710938,3655.6181640625,392.3647155761719,551.0889282226562,678.5466918945312,672.2156982421875,696.0567016601562,1587.8463134765625,9526.587890625,117.32131958007812,24.91389274597168,26.713891983032227,0.1816811561584472,0
12,NORMAL,50.80775833129883,46.660526275634766,44.256141662597656,41.355499267578125,3142.005859375,69.15946197509766,4047.017578125,392.3968505859375,551.2848510742188,678.2920532226562,672.2979125976562,693.6853637695312,1588.973876953125,9526.4501953125,115.01335906982422,24.91410446166992,26.7141056060791,0.1780769824981689,0
13,NORMAL,50.80775833129883,46.660526275634766,44.256141662597656,41.355499267578125,3142.005859375,69.15946197509766,4047.017578125,392.3968505859375,551.2848510742188,678.2920532226562,672.2979125976562,693.6853637695312,1588.973876953125,9526.4501953125,115.01335906982422,24.91410446166992,26.7141056060791,0.1780769824981689,0
14,NORMAL,50.83812713623047,46.26422500610352,44.35993194580078,40.52299880981445,3047.652099609375,69.05866241455078,3655.65234375,392.4030151367188,551.4406127929688,678.1802978515625,672.3062744140625,690.1517944335938,1593.51416015625,9526.330078125,112.8924560546875,24.914281845092773,26.714282989501957,0.1747905611991882,0
15,NORMAL,50.9742546081543,45.68986892700195,44.61923599243164,40.91601943969727,3146.021240234375,69.111328125,4056.044677734375,392.4355773925781,551.667236328125,677.9133911132812,672.3848266601562,687.283935546875,1595.4195556640625,9526.2275390625,111.12030792236328,24.9144229888916,26.71442413330078,0.1720177382230758,0
16,NORMAL,51.001651763916016,45.23165893554688,44.742130279541016,40.00057601928711,3051.764404296875,69.00029754638672,3638.340087890625,392.4408264160156,551.8467407226562,677.7835693359375,672.3905639648438,683.1198120117188,1600.1766357421875,9526.142578125,109.52640533447266,24.914531707763672,26.71453285217285,0.169548287987709,0
17,NORMAL,51.13612365722656,44.583106994628906,44.97919464111328,40.467018127441406,3150.053955078125,69.06230163574219,4064.913818359375,392.4727783203125,552.1018676757812,677.5399780273438,672.4646606445312,679.754150390625,1602.4141845703125,9526.076171875,108.28804779052734,24.91460418701172,26.714603424072266,0.1676034033298492,0
18,NORMAL,51.161766052246094,44.06735610961914,45.100982666015625,39.467899322509766,3055.796142578125,68.94094848632812,3620.359375,392.4774169921875,552.3031616210938,677.4122924804688,672.4676513671875,674.9739990234375,1606.751220703125,9526.02734375,107.2192611694336,24.914640426635746,26.71464157104492,0.1659476459026336,0
19,NORMAL,51.29175567626953,43.35264205932617,45.29284286499024,40.01137924194336,3154.01220703125,69.01274871826172,4073.52197265625,392.5081176757813,552.58349609375,677.2149658203125,672.5364990234375,671.1245727539062,1608.9591064453125,9525.99609375,106.51789093017578,24.91464233398437,26.714643478393555,0.1648353934288025,0
20,NORMAL,51.31583404541016,42.78599166870117,45.3994255065918,38.92936706542969,3059.6728515625,68.88116455078125,3601.84033203125,392.5121765136719,552.8038330078125,677.1033935546875,672.5367431640625,665.764404296875,1612.471923828125,9525.982421875,105.97689819335938,24.914609909057617,26.7146110534668,0.1639971584081649,0
21,NORMAL,51.438602447509766,42.01626586914063,45.53528594970703,39.553184509277344,3157.818359375,68.96318054199219,4081.76953125,392.5408935546875,553.1047973632812,676.962890625,672.5994262695312,661.4617919921875,1614.401611328125,9525.9873046875,105.82018280029295,24.91454315185547,26.71454429626465,0.1637291759252548,0
22,NORMAL,51.438602447509766,42.01626586914063,45.53528594970703,38.39048385620117,3063.330078125,68.82164764404297,3582.96435546875,392.5408935546875,553.1047973632812,676.962890625,672.5994262695312,661.4617919921875,1614.401611328125,9525.9873046875,105.82018280029295,24.91454315185547,26.71454429626465,0.1637291759252548,0
23,NORMAL,51.46099853515625,41.40774917602539,45.61907196044922,38.39048385620117,3063.330078125,68.82164764404297,3582.96435546875,392.5444030761719,553.3404541015625,676.8748779296875,672.5972290039062,655.5817260742188,1616.9049072265625,9526.0048828125,105.80744934082033,24.914445877075195,26.71444702148437,0.1637088358402252,0
24,NORMAL,51.46099853515625,41.40774917602539,45.61907196044922,38.39048385620117,3063.330078125,68.82164764404297,3582.96435546875,392.5444030761719,553.3404541015625,676.8748779296875,672.5972290039062,655.5817260742188,1616.9049072265625,9526.0048828125,105.80744934082033,24.914445877075195,26.71444702148437,0.1637088358402252,0
25,NORMAL,51.57415390014648,40.597415924072266,45.69879150390625,39.09780502319336,3161.391845703125,68.91426086425781,4089.544189453125,392.5705871582031,553.6561279296875,676.7911376953125,672.6550903320312,650.8754272460938,1618.424072265625,9526.0126953125,106.151123046875,24.914356231689453,26.714357376098636,0.1642160713672638,0
26,NORMAL,51.59497833251953,39.95858001708984,45.75821685791016,37.85833358764648,3066.6318359375,68.76327514648438,3531.5869140625,392.5735473632813,553.90234375,676.7279052734375,672.6544189453125,644.563232421875,1619.919921875,9526.005859375,106.54093170166016,24.914281845092773,26.71428108215332,0.1648182868957519,0
27,NORMAL,51.696533203125,39.12557220458984,45.7900390625,38.84552383422852,3164.5947265625,68.89103698730469,4096.75048828125,392.5966796875,554.2255859375,676.6925048828125,672.7100219726562,639.5249633789062,1621.0029296875,9525.9853515625,107.22764587402344,24.91421890258789,26.71422004699707,0.165856659412384,0
28,NORMAL,51.7155876159668,38.47065353393555,45.82838439941406,37.534950256347656,3069.551025390625,68.73121643066406,3554.034912109375,392.5990905761719,554.4766845703125,676.650634765625,672.7111206054688,632.9017333984375,1621.6392822265625,9525.9501953125,107.87519073486328,24.91416931152344,26.714170455932617,0.1668571680784225,0
29,NORMAL,51.80412292480469,37.63605117797852,45.82529067993164,38.36312103271485,3167.423095703125,68.83919525146484,4103.2998046875,392.6188354492188,554.7988891601562,676.6503295898438,672.76513671875,627.6297607421875,1622.3448486328125,9525.900390625,108.77835845947266,24.914134979248047,26.714136123657227,0.1682305932044983,0
