,sim_t,sim_states,sip,dip,sport,dport,seq,ack,window,transId,protoId,len,unitId,funcCode,modbus,delta_t,pac_arr,labels
0,1291,A_DOS,192.168.1.3,192.168.1.5,5021,15021,3893327618,2824180876,10233,9,0,15,1,3,"[12, [17269, 64860, 17412, 47164, 17469, 839]]",1733823488.5030575,1,0
1,1291,A_DOS,192.168.1.6,192.168.1.2,15030,5020,3636952365,3624920477,10233,10,0,27,2,16,"[0, 10, 20, [16935, 37388, 17730, 40214, 17034, 48609, 17784, 23489, 17348, 1303]]",1733823488.5231063,1,0
2,1291,A_DOS,192.168.1.2,192.168.1.4,5020,15010,2865558042,3108728789,10233,10,0,75,4,3,"[72, [16965, 55408, 16967, 12585, 16956, 30121, 17348, 766, 17417, 33325, 17448, 57495, 17447, 56733, 17458, 22498, 17619, 30153, 17940, 59785, 17203, 21070, 16839, 16905, 16853, 43120, 16014, 23376, 16935, 37388, 17730, 40214, 17034, 48609, 17784, 23489]]",1733823488.9439547,1,0
3,1291,A_DOS,192.168.1.3,192.168.1.6,5021,15031,341142302,929234841,10233,10,0,7,2,3,"[4, [17037, 5297]]",1733823489.0696375,1,0
4,1291,A_DOS,192.168.1.2,192.168.1.3,5020,15000,481822389,1680627666,10233,10,0,75,3,3,"[72, [16965, 55408, 16967, 12585, 16956, 30121, 17348, 766, 17417, 33325, 17448, 57495, 17447, 56733, 17458, 22498, 17619, 30153, 17940, 59785, 17203, 21070, 16839, 16905, 16853, 43120, 16014, 23376, 16935, 37388, 17730, 40214, 17034, 48609, 17784, 23489]]",1733823489.2332976,1,0
5,1291,A_DOS,192.168.1.3,192.168.1.2,5021,14900,1065034134,2207234011,10233,10,0,19,3,3,"[16, [17037, 5297, 17269, 64063, 17412, 47116, 17469, 767]]",1733823489.4627528,1,0
6,1291,A_DOS,192.168.1.4,192.168.1.3,15011,5021,490880367,53510998,10233,10,0,23,4,16,"[0, 8, 16, [17037, 8039, 17269, 63295, 17412, 47057, 17469, 708]]",1733823489.5206652,1,0
7,1291,A_DOS,192.168.1.5,192.168.1.2,15020,5020,2714994998,3096630129,10233,10,0,63,1,16,"[0, 28, 56, [16966, 14291, 16966, 63641, 16954, 19082, 17348, 1303, 17417, 33679, 17449, 790, 17447, 58189, 17457, 64563, 17613, 18239, 17940, 59389, 17197, 4391, 16839, 17273, 16853, 43488, 16009, 24471]]",1733823489.9331307,1,0
8,1292,A_DOS,192.168.1.3,192.168.1.5,5021,15021,3893327639,2824180888,10233,10,0,15,1,3,"[12, [17269, 64063, 17412, 47116, 17469, 767]]",2.0479085445404053,1,0
9,1292,A_DOS,192.168.1.6,192.168.1.2,15030,5020,3636952398,3624920489,10233,11,0,27,2,16,"[0, 10, 20, [16935, 37388, 17730, 40214, 17034, 48609, 17784, 23489, 17348, 1303]]",2.0627667903900146,1,0
10,1292,A_DOS,192.168.1.3,192.168.1.6,5021,15031,341142315,929234853,10233,11,0,7,2,3,"[4, [17037, 8039]]",1.919041633605957,2,0
11,1292,A_DOS,192.168.1.2,192.168.1.4,5020,15010,2865558123,3108728801,10233,11,0,75,4,3,"[72, [16966, 14291, 16966, 63641, 16954, 19082, 17348, 1303, 17417, 33679, 17449, 790, 17447, 58189, 17457, 64563, 17613, 18239, 17940, 59389, 17197, 4391, 16839, 17273, 16853, 43488, 16009, 24471, 16935, 37388, 17730, 40214, 17034, 48609, 17784, 23489]]",2.2101144790649414,1,0
12,1292,A_DOS,192.168.1.2,192.168.1.3,5020,15000,481822470,1680627678,10233,11,0,75,3,3,"[72, [16966, 14291, 16966, 63641, 16954, 19082, 17348, 1303, 17417, 33679, 17449, 790, 17447, 58189, 17457, 64563, 17613, 18239, 17940, 59389, 17197, 4391, 16839, 17273, 16853, 43488, 16009, 24471, 16935, 37388, 17730, 40214, 17034, 48609, 17784, 23489]]",2.0839948654174805,1,0
13,1292,A_DOS,192.168.1.3,192.168.1.2,5021,14900,1065034159,2207234023,10233,11,0,19,3,3,"[16, [17037, 8039, 17269, 63295, 17412, 47057, 17469, 708]]",2.0651791095733643,1,0
14,1292,A_DOS,192.168.1.4,192.168.1.3,15011,5021,490880396,53511010,10233,11,0,23,4,16,"[0, 8, 16, [17037, 10637, 17269, 62556, 17412, 46988, 17469, 662]]",2.0521504878997803,1,0
15,1292,A_DOS,192.168.1.5,192.168.1.2,15020,5020,2714995067,3096630141,10233,11,0,63,1,16,"[0, 28, 56, [16967, 52405, 16966, 51428, 16953, 10670, 17348, 4319, 17417, 33969, 17449, 5342, 17447, 58631, 17457, 58569, 17612, 8250, 17940, 59012, 17191, 5164, 16839, 17623, 16853, 43838, 16004, 40362]]",2.096649408340454,1,0
16,1293,A_DOS,192.168.1.3,192.168.1.5,5021,15021,3893327660,2824180900,10233,11,0,15,1,3,"[12, [17269, 63295, 17412, 47057, 17469, 708]]",2.049199104309082,1,0
