,sim_t,sim_states,sip,dip,sport,dport,seq,ack,window,transId,protoId,len,unitId,funcCode,modbus,delta_t,pac_arr,labels
0,1181,A_FDI,192.168.1.2,192.168.1.4,5020,15010,1730549678,1973717332,10233,8,0,75,4,3,"[72, [16968, 0, 16968, 0, 16968, 0, 17347, 65494, 17417, 32958, 17448, 51105, 17447, 54810, 17458, 22199, 17619, 28164, 17940, 60632, 17216, 44396, 16839, 16114, 16853, 42328, 16024, 64444, 16968, 0, 17723, 10393, 17035, 42277, 17785, 8757]]",1733819152.5161452,1,0
1,1181,A_FDI,192.168.1.5,192.168.1.2,15020,5020,1580054874,1962125536,10233,8,0,63,1,16,"[0, 28, 56, [16965, 47817, 16967, 13185, 16956, 30984, 17348, 766, 17417, 33325, 17448, 57495, 17447, 56733, 17458, 22498, 17619, 30153, 17940, 59785, 17203, 21070, 16839, 16905, 16853, 43120, 16014, 23376]]",1733819152.5373294,1,0
2,1181,A_FDI,192.168.1.4,192.168.1.3,15011,5021,3650788141,3213420987,10233,8,0,23,4,16,"[0, 8, 16, [17037, 2412, 17269, 64860, 17412, 47164, 17469, 839]]",1733819152.5686457,1,2
3,1181,A_FDI,192.168.1.3,192.168.1.2,5021,14900,4225123533,1072532670,10233,8,0,19,3,3,"[16, [17036, 61746, 17270, 1003, 17412, 47228, 17469, 1020]]",1733819152.7915683,1,0
4,1181,A_FDI,192.168.1.6,192.168.1.2,15030,5020,2502134386,2490648375,10233,8,0,27,2,16,"[0, 10, 20, [16943, 35023, 17724, 8351, 17035, 9154, 17785, 29624, 17348, 766]]",1733819152.8165028,1,0
5,1181,A_FDI,192.168.1.3,192.168.1.5,5021,15021,2758411608,1689736797,10233,8,0,15,1,3,"[12, [17270, 149, 17412, 47201, 17469, 923]]",1733819153.2681653,1,0
6,1181,A_FDI,192.168.1.2,192.168.1.3,5020,15000,3641935300,546465666,10233,8,0,75,3,3,"[72, [16968, 0, 16968, 0, 16968, 0, 17347, 65406, 17417, 33157, 17448, 55293, 17447, 56249, 17458, 22271, 17619, 28498, 17940, 60200, 17209, 56463, 16839, 16519, 16853, 42733, 16019, 36289, 16968, 0, 17729, 61657, 17035, 16857, 17785, 26272]]",1733819153.5332808,1,0
7,1181,A_FDI,192.168.1.3,192.168.1.6,5021,15031,3501579977,4089388739,10233,8,0,7,2,3,"[4, [17036, 64919]]",1733819154.0550423,1,2
8,1181,A_FDI,192.168.1.2,192.168.1.4,5020,15010,1730549759,1973717344,10233,9,0,75,4,3,"[72, [16968, 0, 16968, 0, 16968, 0, 17347, 65406, 17417, 33157, 17448, 55293, 17447, 56249, 17458, 22271, 17619, 28498, 17940, 60200, 17209, 56463, 16839, 16519, 16853, 42733, 16019, 36289, 16968, 0, 17729, 61657, 17035, 16857, 17785, 26272]]",2.0615077018737793,1,0
9,1181,A_FDI,192.168.1.5,192.168.1.2,15020,5020,1580054943,1962125548,10233,9,0,63,1,16,"[0, 28, 56, [16965, 47817, 16967, 13185, 16956, 30984, 17348, 766, 17417, 33325, 17448, 57495, 17447, 56733, 17458, 22498, 17619, 30153, 17940, 59785, 17203, 21070, 16839, 16905, 16853, 43120, 16014, 23376]]",2.1315886974334717,1,0
