,sim_t,sim_states,sip,dip,sport,dport,seq,ack,window,transId,protoId,len,unitId,funcCode,modbus,delta_t,pac_arr,labels
0,1081,A_MITM,192.168.1.3,192.168.1.5,5021,15021,2106823520,1037913470,10233,9,0,15,1,3,"[12, [17269, 64860, 17412, 47164, 17469, 839]]",1733816655.568254,1,1
1,1081,A_MITM,192.168.1.6,192.168.1.2,15030,5020,1849972396,1838585810,10233,10,0,27,2,16,"[0, 10, 20, [16935, 37388, 17730, 40214, 17034, 48609, 17784, 23489, 17348, 1303]]",1733816655.5890322,1,0
2,1081,A_MITM,192.168.1.2,192.168.1.4,5020,15010,1079025898,1322089097,10233,10,0,75,4,3,"[72, [16965, 55408, 16967, 12585, 16956, 30121, 17348, 766, 17417, 33325, 17448, 57495, 17447, 56733, 17458, 22498, 17619, 30153, 17940, 59785, 17203, 21070, 16839, 16905, 16853, 43120, 16014, 23376, 16942, 49791, 17724, 8351, 17035, 9154, 17785, 29624]]",1733816655.9907722,1,0
3,1081,A_MITM,192.168.1.3,192.168.1.6,5021,15031,2849722130,3437797369,10233,10,0,7,2,3,"[4, [17037, 5297]]",1733816656.0335414,1,0
4,1081,A_MITM,192.168.1.5,192.168.1.2,15020,5020,928314374,1310247038,10233,10,0,63,1,16,"[0, 28, 56, [16966, 14291, 16966, 63641, 16954, 19082, 17348, 1303, 17417, 33679, 17449, 790, 17447, 58189, 17457, 64563, 17613, 18239, 17940, 59389, 17197, 4391, 16839, 17273, 16853, 43488, 16009, 24471]]",1733816656.0776138,1,0
5,1081,A_MITM,192.168.1.2,192.168.1.3,5020,15000,2990286837,4189296882,10233,10,0,75,3,3,"[72, [16965, 55408, 16967, 12585, 16956, 30121, 17348, 766, 17417, 33325, 17448, 57495, 17447, 56733, 17458, 22498, 17619, 30153, 17940, 59785, 17203, 21070, 16839, 16905, 16853, 43120, 16014, 23376, 16942, 49791, 17724, 8351, 17035, 9154, 17785, 29624]]",1733816656.1539857,1,0
6,1081,A_MITM,192.168.1.3,192.168.1.2,5021,14900,3573663446,420819924,10233,10,0,19,3,3,"[16, [17037, 5297, 17269, 64063, 17412, 47116, 17469, 767]]",1733816656.1839063,1,0
7,1081,A_MITM,192.168.1.4,192.168.1.3,15011,5021,2999084871,2561717951,10233,10,0,23,4,16,"[0, 8, 16, [17037, 8039, 17269, 63295, 17412, 47057, 17469, 708]]",1733816656.2041538,1,0
8,1082,A_MITM,192.168.1.3,192.168.1.5,5021,15021,2106823541,1037913482,10233,10,0,15,1,3,"[12, [17269, 64063, 17412, 47116, 17469, 767]]",2.0464656352996826,1,1
9,1082,A_MITM,192.168.1.6,192.168.1.2,15030,5020,1849972429,1838585822,10233,11,0,27,2,16,"[0, 10, 20, [16934, 9391, 17724, 47230, 17034, 46066, 17764, 40382, 17348, 4319]]",2.051546335220337,1,0
10,1082,A_MITM,192.168.1.2,192.168.1.4,5020,15010,1079025979,1322089109,10233,11,0,75,4,3,"[72, [16966, 14291, 16966, 63641, 16954, 19082, 17348, 1303, 17417, 33679, 17449, 790, 17447, 58189, 17457, 64563, 17613, 18239, 17940, 59389, 17197, 4391, 16839, 17273, 16853, 43488, 16009, 24471, 16935, 37388, 17730, 40214, 17034, 48609, 17784, 23489]]",2.0485730171203613,1,0
11,1082,A_MITM,192.168.1.3,192.168.1.6,5021,15031,2849722143,3437797381,10233,11,0,7,2,3,"[4, [17037, 8039]]",2.081707000732422,1,0
12,1082,A_MITM,192.168.1.5,192.168.1.2,15020,5020,928314443,1310247050,10233,11,0,63,1,16,"[0, 28, 56, [16967, 52405, 16966, 51428, 16953, 10670, 17348, 4319, 17417, 33969, 17449, 5342, 17447, 58631, 17457, 58569, 17612, 8250, 17940, 59012, 17191, 5164, 16839, 17623, 16853, 43838, 16004, 40362]]",2.0682642459869385,1,0
13,1082,A_MITM,192.168.1.3,192.168.1.2,5021,14900,3573663471,420819936,10233,11,0,19,3,3,"[16, [17037, 5297, 17269, 64063, 17412, 47116, 17469, 767]]",2.024589776992798,1,0
14,1082,A_MITM,192.168.1.2,192.168.1.3,5020,15000,2990286918,4189296894,10233,11,0,75,3,3,"[72, [16966, 14291, 16966, 63641, 16954, 19082, 17348, 1303, 17417, 33679, 17449, 790, 17447, 58189, 17457, 64563, 17613, 18239, 17940, 59389, 17197, 4391, 16839, 17273, 16853, 43488, 16009, 24471, 16935, 37388, 17730, 40214, 17034, 48609, 17784, 23489]]",2.085606098175049,1,0
15,1082,A_MITM,192.168.1.4,192.168.1.3,15011,5021,2999084900,2561717963,10233,11,0,23,4,16,"[0, 8, 16, [17037, 10637, 17269, 62556, 17412, 46988, 17469, 662]]",2.060620069503784,1,0
16,1083,A_MITM,192.168.1.3,192.168.1.5,5021,15021,2106823562,1037913494,10233,11,0,15,1,3,"[12, [17274, 0, 17412, 47057, 17469, 708]]",2.050834894180298,1,1
17,1083,A_MITM,192.168.1.6,192.168.1.2,15030,5020,1849972462,1838585834,10233,12,0,27,2,16,"[0, 10, 20, [16935, 57200, 17731, 2997, 17034, 56325, 17785, 58185, 17348, 5981]]",2.0510618686676025,1,0
18,1083,A_MITM,192.168.1.2,192.168.1.4,5020,15010,1079026060,1322089121,10233,12,0,75,4,3,"[72, [16967, 52405, 16966, 51428, 16953, 10670, 17348, 4319, 17417, 33969, 17449, 5342, 17447, 58631, 17457, 58569, 17612, 8250, 17940, 59012, 17191, 5164, 16839, 17623, 16853, 43838, 16004, 40362, 16934, 9391, 17724, 47230, 17034, 46066, 17764, 40382]]",2.0520787239074707,1,0
19,1083,A_MITM,192.168.1.3,192.168.1.6,5021,15031,2849722156,3437797393,10233,12,0,7,2,3,"[4, [17037, 10637]]",2.0675506591796875,1,0
20,1083,A_MITM,192.168.1.5,192.168.1.2,15020,5020,928314512,1310247062,10233,12,0,63,1,16,"[0, 28, 56, [16932, 56600, 16966, 27592, 16950, 16287, 17348, 5981, 17417, 34542, 17449, 17204, 17447, 60101, 17457, 53403, 17611, 34058, 17940, 58652, 17185, 25722, 16839, 17955, 16853, 44170, 16000, 5531]]",2.0728261470794678,1,0
21,1083,A_MITM,192.168.1.3,192.168.1.2,5021,14900,3573663496,420819948,10233,12,0,19,3,3,"[16, [17037, 8039, 17269, 63295, 17412, 47057, 17469, 708]]",2.055086374282837,1,0
22,1083,A_MITM,192.168.1.4,192.168.1.3,15011,5021,2999084929,2561717975,10233,12,0,23,4,16,"[0, 8, 16, [17037, 13091, 17269, 61845, 17412, 46907, 17469, 629]]",2.0378499031066895,1,0
23,1083,A_MITM,192.168.1.2,192.168.1.3,5020,15000,2990286999,4189296906,10233,12,0,75,3,3,"[72, [16967, 52405, 16966, 51428, 16953, 10670, 17348, 4319, 17417, 33969, 17449, 5342, 17447, 58631, 17457, 58569, 17612, 8250, 17940, 59012, 17191, 5164, 16839, 17623, 16853, 43838, 16004, 40362, 16934, 9391, 17724, 47230, 17034, 46066, 17764, 40382]]",2.803532838821411,1,0
24,1084,A_MITM,192.168.1.3,192.168.1.5,5021,15021,2106823583,1037913506,10233,12,0,15,1,3,"[12, [17274, 0, 17412, 46988, 17469, 662]]",2.0440685749053955,1,1
25,1084,A_MITM,192.168.1.6,192.168.1.2,15030,5020,1849972495,1838585846,10233,13,0,27,2,16,"[0, 10, 20, [16935, 57200, 17731, 2997, 17034, 56325, 17785, 58185, 17348, 5981]]",2.046140193939209,1,0
26,1084,A_MITM,192.168.1.2,192.168.1.4,5020,15010,1079026141,1322089133,10233,13,0,75,4,3,"[72, [16932, 56600, 16966, 27592, 16950, 16287, 17348, 5981, 17417, 34542, 17449, 17204, 17447, 60101, 17457, 53403, 17611, 34058, 17940, 58652, 17185, 25722, 16839, 17955, 16853, 44170, 16000, 5531, 16935, 57200, 17731, 2997, 17034, 56325, 17785, 58185]]",2.0367331504821777,1,0
27,1084,A_MITM,192.168.1.3,192.168.1.6,5021,15031,2849722169,3437797405,10233,13,0,7,2,3,"[4, [17037, 10637]]",2.079232692718506,1,0
28,1084,A_MITM,192.168.1.5,192.168.1.2,15020,5020,928314581,1310247074,10233,13,0,63,1,16,"[0, 28, 56, [16932, 35162, 16966, 7852, 16948, 47156, 17348, 5627, 17417, 35006, 17449, 23366, 17447, 60501, 17457, 43540, 17609, 61690, 17940, 58311, 17179, 63027, 16839, 18268, 16853, 44483, 15991, 35475]]",2.076878547668457,1,0
29,1084,A_MITM,192.168.1.3,192.168.1.2,5021,14900,3573663521,420819960,10233,13,0,19,3,3,"[16, [17037, 10637, 17269, 62556, 17412, 46988, 17469, 662]]",2.0759634971618652,1,0
30,1084,A_MITM,192.168.1.4,192.168.1.3,15011,5021,2999084958,2561717987,10233,13,0,23,4,16,"[0, 8, 16, [17037, 15402, 17269, 61162, 17412, 46816, 17469, 609]]",2.0681867599487305,1,0
31,1084,A_MITM,192.168.1.2,192.168.1.3,5020,15000,2990287080,4189296918,10233,13,0,75,3,3,"[72, [16932, 56600, 16966, 27592, 16950, 16287, 17348, 5981, 17417, 34542, 17449, 17204, 17447, 60101, 17457, 53403, 17611, 34058, 17940, 58652, 17185, 25722, 16839, 17955, 16853, 44170, 16000, 5531, 16935, 57200, 17731, 2997, 17034, 56325, 17785, 58185]]",1.6505677700042725,2,0
32,1085,A_MITM,192.168.1.3,192.168.1.5,5021,15021,2106823604,1037913518,10233,13,0,15,1,3,"[12, [17274, 0, 17412, 46907, 17469, 629]]",2.0419039726257324,1,1
33,1085,A_MITM,192.168.1.6,192.168.1.2,15030,5020,1849972528,1838585858,10233,14,0,27,2,16,"[0, 10, 20, [16933, 20093, 17725, 294, 17034, 48824, 17765, 5172, 17348, 5627]]",2.0462806224823,1,0
34,1085,A_MITM,192.168.1.2,192.168.1.4,5020,15010,1079026222,1322089145,10232,14,0,75,4,3,"[72, [16932, 35162, 16966, 7852, 16948, 47156, 17348, 5627, 17417, 35006, 17449, 23366, 17447, 60501, 17457, 43540, 17609, 61690, 17940, 58311, 17179, 63027, 16839, 18268, 16853, 44483, 15991, 35475, 16935, 57200, 17731, 2997, 17034, 56325, 17785, 58185]]",1.7765114307403564,2,0
35,1085,A_MITM,192.168.1.3,192.168.1.5,5021,15021,2106823625,1037913530,10232,14,0,15,1,3,"[12, [17274, 0, 17412, 46907, 17469, 629]]",0.4235401153564453,2,1
36,1085,A_MITM,192.168.1.3,192.168.1.6,5021,15031,2849722182,3437797417,10232,14,0,7,2,3,"[4, [17037, 13091]]",2.0624148845672607,1,0
37,1085,A_MITM,192.168.1.5,192.168.1.2,15020,5020,928314650,1310247086,10232,14,0,63,1,16,"[0, 28, 56, [16932, 35359, 16965, 37236, 16946, 42818, 17348, 5950, 17417, 35872, 17449, 31718, 17447, 61975, 17457, 35182, 17609, 6853, 17940, 57987, 17174, 55667, 16839, 18563, 16853, 44778, 15983, 25652]]",2.0626914501190186,1,0
38,1085,A_MITM,192.168.1.3,192.168.1.2,5021,14900,3573663546,420819972,10232,14,0,19,3,3,"[16, [17037, 13091, 17269, 61845, 17412, 46907, 17469, 629]]",2.0616495609283447,1,0
39,1085,A_MITM,192.168.1.4,192.168.1.3,15011,5021,2999084987,2561717999,10232,14,0,23,4,16,"[0, 8, 16, [17037, 17568, 17269, 60508, 17412, 46714, 17469, 601]]",2.0602219104766846,1,0
