,sim_t,sim_states,sip,dip,sport,dport,seq,ack,window,transId,protoId,len,unitId,funcCode,modbus,delta_t,pac_arr,labels
8,1602,F_CF,192.168.1.3,192.168.1.5,5021,15021,1462409630,392250931,10233,9,0,15,1,3,"[12, [17269, 64860, 17412, 47164, 17469, 839]]",2.047146797,1,0
9,1602,F_CF,192.168.1.2,192.168.1.4,5020,15010,430045509,673211692,10233,10,0,75,4,3,"[72, [16965, 6076, 16967, 12540, 16956, 37008, 17348, 766, 17417, 33325, 17448, 57495, 17447, 56733, 17458, 22498, 17619, 30153, 17940, 59785, 17203, 21070, 16839, 16905, 16853, 43120, 16014, 23376, 16947, 61168, 17724, 8351, 17035, 9154, 17785, 29624]]",2.136828423,1,0
10,1602,F_CF,192.168.1.3,192.168.1.6,5021,15031,2205461414,2788969831,10233,9,0,7,2,3,"[4, [17037, 2412]]",2.060963154,1,0
11,1602,F_CF,192.168.1.4,192.168.1.3,15011,5021,2353358725,1915991175,10233,10,0,23,4,16,"[0, 8, 16, [17037, 8039, 17269, 63295, 17412, 47057, 17469, 708]]",2.061875105,1,0
12,1602,F_CF,192.168.1.2,192.168.1.3,5020,15000,2341365477,3543669667,10233,10,0,75,3,3,"[72, [16965, 22933, 16966, 64419, 16954, 26734, 17348, 1303, 17417, 33679, 17449, 790, 17447, 58189, 17457, 64544, 17613, 21989, 17940, 59389, 17197, 4391, 16839, 17273, 16853, 43488, 16009, 24471, 16941, 32635, 17730, 40214, 17034, 48609, 17783, 58032]]",2.110975504,1,0
13,1602,F_CF,192.168.1.3,192.168.1.2,5021,14900,2924802835,4071493003,10233,10,0,19,3,3,"[16, [17037, 5297, 17269, 64063, 17412, 47116, 17469, 767]]",2.140889406,1,0
14,1602,F_CF,192.168.1.5,192.168.1.2,15020,5020,284018872,664637803,10233,10,0,63,1,16,"[0, 28, 56, [16967, 10800, 16966, 53269, 16953, 18984, 17348, 5027, 17417, 33969, 17449, 5342, 17447, 58631, 17457, 58917, 17612, 12442, 17940, 59012, 17191, 5164, 16839, 17623, 16853, 43838, 16004, 40362]]",2.326644421,1,0
15,1602,F_CF,192.168.1.6,192.168.1.2,15030,5020,1204775388,1193165631,10233,10,0,27,2,16,"[0, 10, 20, [16941, 17470, 17724, 48487, 17034, 48012, 17768, 41225, 17348, 5027]]",2.170336962,1,0
16,1603,F_CF,192.168.1.3,192.168.1.5,5021,15021,1462409651,392250943,10233,10,0,15,1,3,"[12, [17269, 64063, 17412, 47116, 17469, 767]]",2.065832615,1,0
17,1603,F_CF,192.168.1.2,192.168.1.4,5020,15010,430045590,673211704,10233,11,0,75,4,3,"[72, [16965, 22933, 16966, 64419, 16954, 26734, 17348, 1303, 17417, 33679, 17449, 790, 17447, 58189, 17457, 64544, 17613, 21989, 17940, 59389, 17197, 4391, 16839, 17273, 16853, 43488, 16009, 24471, 16941, 32635, 17730, 40214, 17034, 48609, 17783, 58032]]",2.13822341,1,0
