,sim_t,sim_states,sip,dip,sport,dport,seq,ack,window,transId,protoId,len,unitId,funcCode,modbus,delta_t,pac_arr,labels
7,1501,F_CLF,192.168.1.3,192.168.1.5,5021,15021,1270731184,200748714,10233,11,0,15,1,3,"[12, [17269, 63295, 17412, 47057, 17469, 708]]",2.151287794,1,0
8,1501,F_CLF,192.168.1.6,192.168.1.2,15030,5020,1013482534,1001790984,10233,11,0,27,2,16,"[0, 10, 20, [16941, 32635, 17730, 40214, 17034, 48609, 17783, 58032, 17348, 1303]]",2.150425434,1,0
9,1502,F_CLF,192.168.1.3,192.168.1.6,5021,15031,2013922296,2597878546,10233,11,0,7,2,3,"[4, [17037, 8039]]",2.070067167,1,0
10,1502,F_CLF,192.168.1.2,192.168.1.3,5020,15000,2150212477,3352315716,10233,12,0,75,3,3,"[72, [16965, 22933, 16966, 64419, 16954, 26734, 17348, 1303, 17417, 33679, 17449, 790, 17447, 58189, 17457, 64544, 17613, 21989, 17940, 59389, 17197, 4391, 16839, 17273, 16853, 43488, 16009, 24471, 16941, 32635, 17730, 40214, 17034, 48609, 17783, 58032]]",2.128377914,1,0
11,1502,F_CLF,192.168.1.5,192.168.1.2,15020,5020,92378874,473163257,10233,12,0,63,1,16,"[0, 28, 56, [16967, 10800, 16966, 53269, 16953, 18984, 17348, 5027, 17417, 33969, 17449, 5342, 17447, 58631, 17457, 58917, 17612, 12442, 17940, 59012, 17191, 5164, 16839, 17623, 16853, 43838, 16004, 40362]]",2.129450083,1,0
12,1503,F_CLF,192.168.1.4,192.168.1.3,15011,5021,2162281643,1724912598,10233,12,0,23,4,16,"[0, 8, 16, [17037, 13091, 17269, 61845, 17412, 46907, 17469, 629]]",2.27393198,1,0
13,1503,F_CLF,192.168.1.3,192.168.1.2,5021,14900,2733693521,3879989587,10233,12,0,19,3,3,"[16, [17037, 10637, 17269, 62556, 17412, 46988, 17469, 662]]",2.129775524,1,0
14,1503,F_CLF,192.168.1.3,192.168.1.5,5021,15021,1270731205,200748726,10233,12,0,15,1,3,"[12, [17269, 62556, 17412, 46988, 17469, 662]]",2.160671949,1,0
15,1503,F_CLF,192.168.1.6,192.168.1.2,15030,5020,1013482567,1001790996,10233,12,0,27,2,16,"[0, 10, 20, [16941, 17470, 17724, 48487, 17034, 48012, 17768, 41225, 17348, 5027]]",2.159857512,1,0
16,1503,F_CLF,192.168.1.3,192.168.1.6,5021,15031,2013922309,2597878558,10233,12,0,7,2,3,"[4, [17037, 10637]]",2.071137667,1,0
17,1503,F_CLF,192.168.1.2,192.168.1.3,5020,15000,2150212558,3352315728,10233,13,0,75,3,3,"[72, [16967, 10800, 16966, 53269, 16953, 18984, 17348, 5027, 17417, 33969, 17449, 5342, 17447, 58631, 17457, 58917, 17612, 12442, 17940, 59012, 17191, 5164, 16839, 17623, 16853, 43838, 16004, 40362, 16941, 17470, 17724, 48487, 17034, 48012, 17768, 41225]]",2.059672594,1,0
18,1503,F_CLF,192.168.1.4,192.168.1.3,15011,5021,2162281672,1724912610,10233,13,0,23,4,16,"[0, 8, 16, [17037, 15402, 17269, 61162, 17412, 46816, 17469, 609]]",1.794403076,2,0
19,1503,F_CLF,192.168.1.5,192.168.1.2,15020,5020,92378943,473163269,10233,13,0,63,1,16,"[0, 28, 56, [16968, 9581, 16966, 30744, 16950, 25131, 17348, 7027, 17417, 34543, 17449, 17205, 17447, 60101, 17457, 54228, 17611, 38627, 17940, 58652, 17185, 25722, 16839, 17955, 16853, 44170, 16000, 5531]]",2.103072882,1,0
20,1504,F_CLF,192.168.1.3,192.168.1.2,5021,14900,2733693546,3879989599,10233,13,0,19,3,3,"[16, [17037, 13091, 17269, 61845, 17412, 46907, 17469, 629]]",2.122824907,1,0
21,1504,F_CLF,192.168.1.3,192.168.1.5,5021,15021,1270731226,200748738,10233,13,0,15,1,3,"[12, [17269, 61845, 17412, 46907, 17469, 629]]",2.152970314,1,0
22,1504,F_CLF,192.168.1.6,192.168.1.2,15030,5020,1013482600,1001791008,10233,13,0,27,2,16,"[0, 10, 20, [16942, 31415, 17731, 3641, 17034, 53332, 17785, 32742, 17348, 7027]]",2.152442217,1,0
23,1504,F_CLF,192.168.1.3,192.168.1.6,5021,15031,2013922322,2597878570,10233,13,0,7,2,3,"[4, [17037, 13091]]",2.079464197,1,0
