,sim_t,sim_states,sip,dip,sport,dport,seq,ack,window,transId,protoId,len,unitId,funcCode,modbus,delta_t,pac_arr,labels
8,1402,F_SF,192.168.1.3,192.168.1.6,5021,15031,1587647161,2173920412,10233,10,0,7,2,3,"[4, [17037, 2412]]",2.093785524,1,0
9,1402,F_SF,192.168.1.2,192.168.1.3,5020,15000,1726353456,2927240357,10233,10,0,75,3,3,"[72, [16965, 47817, 16967, 13185, 16956, 30984, 17348, 766, 17417, 33325, 17448, 57495, 17447, 56733, 17458, 22498, 17619, 30153, 17940, 59785, 17203, 21070, 16839, 16905, 16853, 43120, 16014, 23376, 16936, 20457, 17730, 40214, 17034, 48609, 17784, 18724]]",2.110521317,1,0
10,1402,F_SF,192.168.1.3,192.168.1.2,5021,14900,2309488726,3453427660,10233,11,0,19,3,3,"[16, [17037, 5297, 17269, 64063, 17412, 47116, 17469, 767]]",2.05634594,1,0
11,1402,F_SF,192.168.1.2,192.168.1.4,5020,15010,4109965609,57982334,10233,11,0,75,4,3,"[72, [16966, 6922, 16966, 64465, 16954, 19831, 17348, 1303, 17417, 33679, 17449, 790, 17447, 58189, 17457, 64831, 17613, 18709, 17940, 59389, 17197, 4391, 16839, 17273, 16853, 43488, 16009, 24471, 16936, 20457, 17730, 40214, 17034, 48609, 17784, 18724]]",2.062082052,1,0
12,1402,F_SF,192.168.1.5,192.168.1.2,15020,5020,3960983588,47983171,10233,11,0,63,1,16,"[0, 28, 56, [16967, 48733, 16966, 52498, 16953, 11315, 17348, 4428, 17417, 33969, 17449, 5342, 17447, 58631, 17457, 58937, 17612, 8660, 17940, 59012, 17191, 5164, 16839, 17623, 16853, 43838, 16004, 40362]]",2.070249319,1,0
13,1402,F_SF,192.168.1.4,192.168.1.3,15011,5021,1734929390,1297560452,10233,11,0,23,4,16,"[0, 8, 16, [17037, 10637, 17269, 62556, 17412, 46988, 17469, 662]]",2.083920717,1,0
14,1402,F_SF,192.168.1.3,192.168.1.5,5021,15021,844446844,4070530403,10233,11,0,15,1,3,"[12, [17269, 64063, 17412, 47116, 17469, 767]]",1.678381681,2,0
15,1402,F_SF,192.168.1.6,192.168.1.2,15030,5020,586317837,576726814,10233,11,0,27,2,16,"[0, 10, 20, [16934, 60616, 17724, 47423, 17034, 46366, 17765, 8011, 17348, 4428]]",1.683015108,2,0
16,1403,F_SF,192.168.1.3,192.168.1.6,5021,15031,1587647174,2173920424,10233,11,0,7,2,3,"[4, [17037, 5297]]",2.095435858,1,0
17,1403,F_SF,192.168.1.2,192.168.1.3,5020,15000,1726353537,2927240369,10233,11,0,75,3,3,"[72, [16966, 6922, 16966, 64465, 16954, 19831, 17348, 1303, 17417, 33679, 17449, 790, 17447, 58189, 17457, 64831, 17613, 18709, 17940, 59389, 17197, 4391, 16839, 17273, 16853, 43488, 16009, 24471, 16936, 20457, 17730, 40214, 17034, 48609, 17784, 18724]]",2.136470318,1,0
