,sim_t,sim_states,sip,dip,sport,dport,seq,ack,window,transId,protoId,len,unitId,funcCode,modbus,delta_t,pac_arr,labels
0,1,NORMAL,192.168.1.3,192.168.1.6,5021,15031,2875670973,3459332466,10233,8,0,7,2,3,"[4, [17036, 64919]]",1733733889.7923691,1,0
1,1,NORMAL,192.168.1.5,192.168.1.2,15020,5020,954476783,1334828878,10233,8,0,63,1,16,"[0, 28, 56, [16965, 6076, 16967, 12540, 16956, 37008, 17348, 766, 17417, 33325, 17448, 57495, 17447, 56733, 17458, 22498, 17619, 30153, 17940, 59785, 17203, 21070, 16839, 16905, 16853, 43120, 16014, 23376]]",1733733889.8052928,1,0
2,1,NORMAL,192.168.1.2,192.168.1.4,5020,15010,1100491716,1343660032,10233,9,0,75,4,3,"[72, [16965, 6076, 16967, 12540, 16956, 37008, 17348, 766, 17417, 33325, 17448, 57495, 17447, 56733, 17458, 22498, 17619, 30153, 17940, 59785, 17203, 21070, 16839, 16905, 16853, 43120, 16014, 23376, 16968, 0, 17729, 61657, 17035, 16857, 17785, 26272]]",1733733890.2813945,1,0
3,1,NORMAL,192.168.1.3,192.168.1.5,5021,15021,2132854365,1062425545,10233,8,0,15,1,3,"[12, [17270, 149, 17412, 47201, 17469, 923]]",1733733890.6917827,1,0
4,1,NORMAL,192.168.1.4,192.168.1.3,15011,5021,3023065897,2585700255,10233,9,0,23,4,16,"[0, 8, 16, [17037, 5297, 17269, 64063, 17412, 47116, 17469, 767]]",1733733890.7198586,1,0
5,1,NORMAL,192.168.1.3,192.168.1.2,5021,14900,3595126904,446804696,10233,9,0,19,3,3,"[16, [17036, 64919, 17270, 149, 17412, 47201, 17469, 923]]",1733733891.18343,1,0
6,1,NORMAL,192.168.1.2,192.168.1.3,5020,15000,3011947967,4213913047,10233,9,0,75,3,3,"[72, [16965, 6076, 16967, 12540, 16956, 37008, 17348, 766, 17417, 33325, 17448, 57495, 17447, 56733, 17458, 22498, 17619, 30153, 17940, 59785, 17203, 21070, 16839, 16905, 16853, 43120, 16014, 23376, 16968, 0, 17729, 61657, 17035, 16857, 17785, 26272]]",1733733891.731107,1,0
7,1,NORMAL,192.168.1.6,192.168.1.2,15030,5020,1874347253,1863153906,10233,9,0,27,2,16,"[0, 10, 20, [16947, 61168, 17724, 8351, 17035, 9154, 17785, 29624, 17348, 766]]",1733733891.761028,1,0
8,2,NORMAL,192.168.1.3,192.168.1.6,5021,15031,2875670986,3459332478,10233,9,0,7,2,3,"[4, [17037, 2412]]",2.1143126487731934,1,0
9,2,NORMAL,192.168.1.5,192.168.1.2,15020,5020,954476852,1334828890,10233,9,0,63,1,16,"[0, 28, 56, [16965, 22933, 16966, 64419, 16954, 26734, 17348, 1303, 17417, 33679, 17449, 790, 17447, 58189, 17457, 64544, 17613, 21989, 17940, 59389, 17197, 4391, 16839, 17273, 16853, 43488, 16009, 24471]]",2.1397693157196045,1,0
10,2,NORMAL,192.168.1.2,192.168.1.4,5020,15010,1100491797,1343660044,10233,10,0,75,4,3,"[72, [16965, 22933, 16966, 64419, 16954, 26734, 17348, 1303, 17417, 33679, 17449, 790, 17447, 58189, 17457, 64544, 17613, 21989, 17940, 59389, 17197, 4391, 16839, 17273, 16853, 43488, 16009, 24471, 16947, 61168, 17724, 8351, 17035, 9154, 17785, 29624]]",2.126789093017578,1,0
11,2,NORMAL,192.168.1.3,192.168.1.5,5021,15021,2132854386,1062425557,10233,9,0,15,1,3,"[12, [17269, 64860, 17412, 47164, 17469, 839]]",2.0798542499542236,1,0
12,2,NORMAL,192.168.1.4,192.168.1.3,15011,5021,3023065926,2585700267,10233,10,0,23,4,16,"[0, 8, 16, [17037, 8039, 17269, 63295, 17412, 47057, 17469, 708]]",2.080373764038086,1,0
13,2,NORMAL,192.168.1.3,192.168.1.2,5021,14900,3595126929,446804708,10233,10,0,19,3,3,"[16, [17037, 2412, 17269, 64860, 17412, 47164, 17469, 839]]",2.117285966873169,1,0
14,2,NORMAL,192.168.1.2,192.168.1.3,5020,15000,3011948048,4213913059,10233,10,0,75,3,3,"[72, [16965, 22933, 16966, 64419, 16954, 26734, 17348, 1303, 17417, 33679, 17449, 790, 17447, 58189, 17457, 64544, 17613, 21989, 17940, 59389, 17197, 4391, 16839, 17273, 16853, 43488, 16009, 24471, 16947, 61168, 17724, 8351, 17035, 9154, 17785, 29624]]",1.6321749687194824,2,0
15,2,NORMAL,192.168.1.6,192.168.1.2,15030,5020,1874347286,1863153918,10233,10,0,27,2,16,"[0, 10, 20, [16941, 32635, 17730, 40214, 17034, 48609, 17783, 58032, 17348, 1303]]",1.644141674041748,2,0
16,2,NORMAL,192.168.1.3,192.168.1.6,5021,15031,2875670999,3459332490,10233,10,0,7,2,3,"[4, [17037, 5297]]",2.116928815841675,1,0
17,2,NORMAL,192.168.1.5,192.168.1.2,15020,5020,954476921,1334828902,10233,10,0,63,1,16,"[0, 28, 56, [16965, 22933, 16966, 64419, 16954, 26734, 17348, 1303, 17417, 33679, 17449, 790, 17447, 58189, 17457, 64544, 17613, 21989, 17940, 59389, 17197, 4391, 16839, 17273, 16853, 43488, 16009, 24471]]",2.1184396743774414,1,0
18,2,NORMAL,192.168.1.2,192.168.1.4,5020,15010,1100491878,1343660056,10233,11,0,75,4,3,"[72, [16965, 22933, 16966, 64419, 16954, 26734, 17348, 1303, 17417, 33679, 17449, 790, 17447, 58189, 17457, 64544, 17613, 21989, 17940, 59389, 17197, 4391, 16839, 17273, 16853, 43488, 16009, 24471, 16941, 32635, 17730, 40214, 17034, 48609, 17783, 58032]]",2.1026973724365234,1,0
19,2,NORMAL,192.168.1.3,192.168.1.5,5021,15021,2132854407,1062425569,10233,10,0,15,1,3,"[12, [17269, 64063, 17412, 47116, 17469, 767]]",2.055241107940674,1,0
20,2,NORMAL,192.168.1.4,192.168.1.3,15011,5021,3023065955,2585700279,10233,11,0,23,4,16,"[0, 8, 16, [17037, 10637, 17269, 62556, 17412, 46988, 17469, 662]]",2.058561086654663,1,0
