,sim_t,sim_states,sip,dip,sport,dport,seq,ack,window,transId,protoId,len,unitId,funcCode,modbus,delta_t,pac_arr,labels
0,1701,T_NORMAL,192.168.1.3,192.168.1.5,5021,15021,954008214,4179642359,10233,11,0,15,1,3,"[12, [17269, 63295, 17412, 47057, 17469, 708]]",1733795821.9309523,1,0
1,1701,T_NORMAL,192.168.1.6,192.168.1.2,15030,5020,695401364,685718341,10233,11,0,27,2,16,"[0, 10, 20, [16947, 61168, 17724, 8351, 17035, 9154, 17785, 29624, 17348, 766]]",1733795822.0141513,1,0
2,1701,T_NORMAL,192.168.1.3,192.168.1.6,5021,15031,1697107353,2280765021,10233,11,0,7,2,3,"[4, [17037, 8039]]",1733795822.5656967,1,0
3,1701,T_NORMAL,192.168.1.2,192.168.1.4,5020,15010,4216926010,165124488,10233,12,0,75,4,3,"[72, [16965, 6076, 16967, 12540, 16956, 37008, 17348, 766, 17417, 33325, 17448, 57495, 17447, 56733, 17458, 22498, 17619, 30153, 17940, 59785, 17203, 21070, 16839, 16905, 16853, 43120, 16014, 23376, 16947, 61168, 17724, 8351, 17035, 9154, 17785, 29624]]",1733795822.9128728,1,0
4,1701,T_NORMAL,192.168.1.3,192.168.1.2,5021,14900,2416758227,3563400318,10233,11,0,19,3,3,"[16, [17037, 8039, 17269, 63295, 17412, 47057, 17469, 708]]",1733795822.9733853,1,0
5,1701,T_NORMAL,192.168.1.2,192.168.1.3,5020,15000,1833111661,3036163993,10233,12,0,75,3,3,"[72, [16965, 6076, 16967, 12540, 16956, 37008, 17348, 766, 17417, 33325, 17448, 57495, 17447, 56733, 17458, 22498, 17619, 30153, 17940, 59785, 17203, 21070, 16839, 16905, 16853, 43120, 16014, 23376, 16947, 61168, 17724, 8351, 17035, 9154, 17785, 29624]]",1733795823.102226,1,0
6,1701,T_NORMAL,192.168.1.4,192.168.1.3,15011,5021,1844122645,1406754334,10233,12,0,23,4,16,"[0, 8, 16, [17037, 13091, 17269, 61845, 17412, 46907, 17469, 629]]",1733795823.1559057,1,0
7,1701,T_NORMAL,192.168.1.5,192.168.1.2,15020,5020,4070547370,157107483,10233,12,0,63,1,16,"[0, 28, 56, [16965, 22933, 16966, 64419, 16954, 26734, 17348, 1303, 17417, 33679, 17449, 790, 17447, 58189, 17457, 64544, 17613, 21989, 17940, 59389, 17197, 4391, 16839, 17273, 16853, 43488, 16009, 24471]]",1733795823.710779,1,0
8,1702,T_NORMAL,192.168.1.6,192.168.1.2,15030,5020,695401397,685718353,10233,12,0,27,2,16,"[0, 10, 20, [16941, 32635, 17730, 40214, 17034, 48609, 17783, 58032, 17348, 1303]]",2.094508409500122,1,0
9,1702,T_NORMAL,192.168.1.3,192.168.1.5,5021,15021,954008235,4179642371,10233,12,0,15,1,3,"[12, [17269, 62556, 17412, 46988, 17469, 662]]",2.6761457920074463,1,0
10,1702,T_NORMAL,192.168.1.3,192.168.1.6,5021,15031,1697107366,2280765033,10233,12,0,7,2,3,"[4, [17037, 10637]]",2.105070114135742,1,0
