,sim_t,sim_states,FV1,FV2,FV3,FV4,FI1,LI1,FI2,TI1,TI2,TI3,TI4,FI3,FI4,FI5,FI6,PI1,PI2,LI2
0,1181,A_FDI,50.0,50.0,50.0,50.0,2994.537353515625,69.82254791259766,3986.137939453125,391.99871826171875,550.0115966796875,675.1192016601562,671.3453369140625,713.3549194335938,1691.43798828125,9531.2109375,192.67742919921875,24.90573501586914,26.705734252929688,0.29879558086395264
1,1182,A_FDI,50.0,50.0,50.0,50.0,3103.052978515625,69.62860870361328,3990.4140625,391.99603271484375,550.0237426757812,675.3748168945312,671.4331665039062,713.3593139648438,1691.478759765625,9530.7890625,185.86155700683594,24.90650749206543,26.706506729125977,0.2881908714771271
2,1183,A_FDI,49.43240737915039,49.800296783447266,47.118194580078125,43.883602142333984,3010.038818359375,69.56983947753906,3991.232421875,392.02337646484375,550.0339965820312,675.5092163085938,671.4627075195312,713.3731689453125,1691.6807861328125,9530.3837890625,179.32150268554688,24.907243728637695,26.707244873046875,0.27804040908813477
3,1184,A_FDI,49.43240737915039,49.800296783447266,47.118194580078125,43.883602142333984,3010.038818359375,69.56983947753906,3991.232421875,392.02337646484375,550.0339965820312,675.5092163085938,671.4627075195312,713.3731689453125,1691.6807861328125,9530.3837890625,179.32150268554688,24.907243728637695,26.707244873046875,0.27804040908813477
4,1185,A_FDI,49.55438232421875,49.74277877807617,46.57279968261719,41.89316177368164,3113.81787109375,69.37085723876953,3972.5712890625,392.0397644042969,550.0556030273438,676.0482177734375,671.5515747070312,711.9569702148438,1642.2838134765625,9529.9970703125,173.06700134277344,24.90794563293457,26.70794677734375,0.2683074176311493
5,1186,A_FDI,49.96305847167969,49.69618606567383,46.290714263916016,41.554630279541016,3019.577880859375,69.35374450683594,3657.8935546875,392.1351318359375,550.0733032226562,676.3260498046875,671.5785522460938,711.5748291015625,1633.0072021484375,9529.62890625,167.07879638671875,24.908613204956055,26.708614349365234,0.25901538133621216
6,1187,A_FDI,50.200340270996094,49.605255126953125,45.562129974365234,41.98811340332031,3120.753662109375,69.43214416503906,3998.75341796875,392.18743896484375,550.1082763671875,677.050048828125,671.6682739257812,711.2594604492188,1628.15771484375,9529.27734375,161.39248657226562,24.90924644470215,26.709247589111328,0.25016483664512634
7,1188,A_FDI,50.16939163208008,49.52993392944336,45.17988586425781,85.98796844482422,3024.02099609375,69.37393188476562,3666.146240234375,392.17266845703125,550.1365966796875,677.4261474609375,671.6926879882812,710.657470703125,1615.530517578125,9528.9443359375,155.9617156982422,24.90984344482422,26.7098445892334,0.24173955619335175
8,1189,A_FDI,50.205238342285156,49.398868560791016,44.664302825927734,86.44828796386719,3124.590087890625,69.41931915283203,4011.104736328125,392.1808776855469,550.1895141601562,677.9360961914062,671.7826538085938,710.1464233398438,1608.836669921875,9528.6279296875,150.8494110107422,24.9104061126709,26.710407257080078,0.23378068208694458
9,1190,A_FDI,50.22631072998047,49.28630065917969,44.36517333984375,85.9553451538086,3028.184326171875,69.34542083740234,5265.50244140625,392.1793518066406,550.2321166992188,678.22705078125,671.8045043945312,709.2764282226562,1599.8388671875,9528.330078125,145.9806365966797,24.910932540893555,26.710933685302734,0.22622886300086975
10,1191,A_FDI,50.31159210205078,49.090187072753906,44.06923294067383,76.80647277832031,3128.3232421875,68.18974304199219,4017.01220703125,392.194091796875,550.3076171875,678.5144653320312,671.8941650390625,708.508056640625,1594.55859375,9528.05078125,141.44361877441406,24.91142463684082,26.71142578125,0.21916364133358002
11,1192,A_FDI,50.31159210205078,49.090187072753906,44.06923294067383,76.265380859375,3032.156005859375,68.11325073242188,4967.4794921875,392.194091796875,550.3076171875,678.5144653320312,671.8941650390625,708.508056640625,1594.55859375,9528.05078125,141.44361877441406,24.91142463684082,26.71142578125,0.21916364133358002
12,1193,A_FDI,50.4172248840332,48.92032241821289,43.86975860595703,68.8866195678711,3132.164794921875,67.18225860595703,4028.010498046875,392.2087707519531,550.3682861328125,678.7051391601562,671.913330078125,707.1860961914062,1589.409423828125,9527.7880859375,137.13755798339844,24.911882400512695,26.711883544921875,0.21248607337474823
